store_id;date;product_id;sales_with_taxes;sales_without_taxes;quantity
2586;2021-12-01;8445306012586;167983;167983;1
2586;2021-12-01;8445306126511;100756;100756;1
2586;2021-12-01;8445306466211;100756;100756;1
2586;2021-12-01;8445306578907;554538;554538;1
2586;2021-12-01;8445306578976;252017;252017;1
2586;2021-12-01;8445306580290;554538;554538;1
2586;2021-12-01;8445306580412;252017;252017;1
2586;2021-12-01;8445306854278;218403;218403;1
2586;2021-12-01;8445306865298;99916;99916;1
2586;2021-12-01;8445306915603;83950;83950;1
2586;2021-12-01;8445306915627;336050;336050;1
2586;2021-12-01;8445306923684;151176;151176;1
2586;2021-12-01;8445306923691;151176;151176;1
2586;2021-12-01;8445306927569;-107566;-107566;-1
2586;2021-12-01;8445306944382;554538;554538;1
2586;2021-12-01;8445306978240;-388176;-388176;-1
2586;2021-12-01;8445306979681;167983;167983;1
2586;2021-12-01;8445306997623;218403;218403;1
2586;2021-12-01;8445438001182;167983;167983;1
2586;2021-12-01;8445438001359;142773;142773;1
2586;2021-12-01;8445438038447;672185;672185;1
2586;2021-12-01;8445438054317;167983;167983;1
2586;2021-12-01;8445438086813;420084;420084;1
2586;2021-12-01;8445438112314;83950;83950;1
2586;2021-12-01;8445438112505;167983;167983;1
2586;2021-12-01;8445438124096;100756;100756;1
2586;2021-12-01;8445438131131;-167983;-167983;-1
2586;2021-12-01;8445438131582;201512;201512;2
2586;2021-12-01;8445438133494;100756;100756;1
2586;2021-12-01;8445438136655;142773;142773;1
2586;2021-12-01;8445438147460;109160;109160;1
2586;2021-12-01;8445438171533;-100756;-100756;-1
2586;2021-12-01;8445438171632;100756;100756;1
2586;2021-12-01;8445438182027;167983;167983;1
2586;2021-12-01;8445438186421;41933;41933;1
2586;2021-12-01;8445438204620;142773;142773;1
2586;2021-12-01;8445438204668;142773;142773;1
2586;2021-12-01;8445438218917;252017;252017;1
2586;2021-12-01;8445438218986;167983;167983;1
2586;2021-12-01;8445438233255;67143;67143;1
2586;2021-12-01;8445438234016;218403;218403;1
2586;2021-12-01;8445438247634;142773;142773;1
2586;2021-12-01;8445438247771;142773;142773;1
2586;2021-12-01;8445438260800;218403;218403;1
2586;2021-12-01;8445438260947;152882;152882;1
2586;2021-12-01;8445438261074;167983;167983;1
2586;2021-12-01;8445438266079;167983;167983;1
2586;2021-12-01;8445438269810;100756;100756;1
2586;2021-12-01;8445438276641;554538;554538;1
2586;2021-12-01;8445438284233;142773;142773;1
2586;2021-12-01;8445438294270;152882;152882;1
2586;2021-12-01;8445438295499;109160;109160;1
2586;2021-12-01;8445438309332;142773;142773;1
2586;2021-12-01;8445438312974;167983;167983;1
2586;2021-12-01;8445438313155;167983;167983;1
2586;2021-12-01;8445438319324;83950;83950;1
2586;2021-12-01;8445438319362;75546;75546;1
2586;2021-12-01;8445438319379;75546;75546;1
2586;2021-12-01;8445438334457;167983;167983;1
2586;2021-12-01;8445438336147;167983;167983;1
2586;2021-12-01;8445438342612;-117588;-117588;-1
2586;2021-12-01;8445438373432;75546;75546;1
2586;2021-12-01;8445438373647;-83950;-83950;-1
2586;2021-12-01;8445438379489;-174722;-174722;-1
2586;2021-12-01;8445438389860;167983;167983;1
2586;2021-12-01;8445438390606;83950;83950;1
2586;2021-12-01;8445438394857;100756;100756;1
2586;2021-12-01;8445438400695;218403;218403;1
2586;2021-12-01;8445438400718;218403;218403;1
2586;2021-12-01;8445438410410;107566;107566;1
2586;2021-12-01;8445438441087;167983;167983;1
2586;2021-12-01;8445438456753;167983;167983;1
2586;2021-12-01;8445438464765;201512;201512;2
2586;2021-12-01;8445438465618;218403;218403;1
2586;2021-12-01;8445438466783;100756;100756;1
2586;2021-12-01;8445438466806;100756;100756;1
2586;2021-12-01;8445438472494;167983;167983;1
2586;2021-12-01;8445438472500;167983;167983;1
2586;2021-12-01;8445438478281;142773;142773;1
2586;2021-12-01;8445438478304;142773;142773;1
2586;2021-12-01;8445438478731;167983;167983;1
2586;2021-12-01;8445438479295;-169409;-169409;-1
2586;2021-12-01;8445438481526;142773;142773;1
2586;2021-12-01;8445438539111;167983;167983;1
2586;2021-12-01;8445438581301;142773;142773;1
2586;2021-12-01;8445438606721;252017;252017;1
2586;2021-12-01;8445438607797;176412;176412;1
